Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2023-05-22 21:27:00,False,,51.488563,-0.078527,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Summer term
Person search,2023-05-22 22:05:00,False,,51.446182,0.080965,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Greenwich,Summer term
Person search,2023-05-22 22:57:00,False,,51.540572,0.003943,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-22 23:37:00,False,,51.459946,-0.093261,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Southwark,Summer term
Person search,2023-05-23 00:45:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Unknown,Summer term
Person search,2023-05-23 02:28:00,False,,51.560293,0.080409,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Redbridge,Summer term
Person search,2023-05-23 02:38:00,False,,51.513744,-0.298737,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Ealing,Summer term
Person search,2023-05-23 05:49:00,False,,51.541863,0.005226,Male,10-17,Mixed/Multiple ethnic groups - White and Black African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Summer term
Person search,2023-05-23 05:55:00,False,,51.541863,0.005226,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Summer term
Person search,2023-05-23 06:43:00,False,,51.608598,0.035476,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Redbridge,Summer term
Person search,2023-05-23 09:00:00,False,,51.542042,0.148526,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Barking and Dagenham,Summer term
Person search,2023-05-23 10:00:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Unknown,Summer term
Person search,2023-05-23 11:07:00,False,,51.553662,-0.070939,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hackney,Summer term
Person search,2023-05-23 11:08:00,False,,51.605487,-0.122594,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 11:11:00,False,,51.605487,-0.122594,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 11:35:00,False,,51.462672,-0.375178,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,Hounslow,Summer term
Person search,2023-05-23 11:52:00,False,,51.507007,0.108848,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Greenwich,Summer term
Person search,2023-05-23 13:15:00,False,,51.466003,-0.150828,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Wandsworth,Summer term
Person search,2023-05-23 13:28:00,False,,51.472477,-0.125871,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Lambeth,Summer term
Person search,2023-05-23 13:44:00,False,,,,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 13:45:00,False,,51.559414,-0.109979,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Summer term
Person search,2023-05-23 14:00:00,False,,51.373464,-0.0994,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Croydon,Summer term
Person search,2023-05-23 14:00:00,False,,51.512765,-0.186564,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 14:14:00,False,,51.484866,0.156338,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Bexley,Summer term
Person search,2023-05-23 14:20:00,False,,51.602316,-0.066321,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 14:24:00,False,,51.563496,-0.28127,Male,10-17,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Brent,Summer term
Person search,2023-05-23 14:32:00,False,,51.473085,-0.121714,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Lambeth,Summer term
Person search,2023-05-23 14:40:00,False,,51.563496,-0.28127,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Brent,Summer term
Person search,2023-05-23 14:40:00,False,,51.457374,0.143626,Female,10-17,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Bexley,Summer term
Person search,2023-05-23 14:45:00,False,,51.533046,-0.0971,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Summer term
Person search,2023-05-23 14:45:00,False,,51.485829,-0.122919,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Lambeth,Summer term
Person search,2023-05-23 14:50:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 14:58:00,False,,51.575691,-0.072445,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 15:00:00,False,,51.582564,-0.069296,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 15:00:00,False,,51.473085,-0.121714,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Lambeth,Summer term
Person search,2023-05-23 15:00:00,False,,51.581261,-0.071026,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 15:03:00,False,,51.520538,-0.250773,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Ealing,Summer term
Person search,2023-05-23 15:03:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 15:05:00,False,,51.531748,0.147869,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Barking and Dagenham,Summer term
Person search,2023-05-23 15:06:00,False,,51.582564,-0.069296,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-23 15:13:00,False,,51.514365,-0.143408,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 15:14:00,False,,51.514365,-0.143408,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Summer term
Person search,2023-05-23 15:23:00,False,,51.514684,-0.140844,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 15:27:00,False,,51.514365,-0.143408,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-23 15:31:00,False,,51.470291,-0.135421,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lambeth,Summer term
